experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
6,2,521300,847999304329000,12,150400,
6,2,521300,847999304479600,13,149300,
6,2,521300,847999304622400,14,141500,
6,1,495900,,,TOTAL,,35909600
6,2,521300,,,TOTAL,,36670600
6,3,443800,,,TOTAL,,32122200
6,4,341500,,,TOTAL,,34522400
7,4,288400,847999498228800,0,20073300,
7,1,461800,847999498518600,0,20373200,
7,2,482800,847999498874900,0,20668200,
7,3,382000,847999499165100,0,20985200,
7,1,461800,847999499461200,1,517000,
7,4,288400,847999499683000,1,739100,
7,2,482800,847999500007000,1,1063200,
7,4,288400,847999500267400,2,581900,
7,1,461800,847999500595300,2,1131600,
7,3,382000,847999500811400,1,1641600,
7,1,461800,847999501144400,3,546700,
7,4,288400,847999501388900,3,1119000,
7,2,482800,847999501710600,2,1700500,
7,4,288400,847999501997200,4,605600,
7,1,461800,847999502209000,4,1062100,
7,3,382000,847999502438600,2,1625200,
7,1,461800,847999502631300,5,419700,
7,4,288400,847999502921400,5,921700,
7,2,482800,847999503159100,3,1445300,
7,4,288400,847999503420300,6,496300,
7,1,461800,847999503656000,6,1022800,
7,3,382000,847999503874700,3,1433600,
7,1,461800,847999504116800,7,458200,
7,4,288400,847999504327900,7,895200,
7,2,482800,847999504573900,4,1412000,
7,4,288400,847999504789600,8,459800,
7,1,461800,847999505003800,8,884300,
7,3,382000,847999505244200,4,1366800,
7,1,461800,847999505517200,9,511100,
7,4,288400,847999505723700,9,931700,
7,2,482800,847999505937400,5,1360800,
7,4,288400,847999506145000,10,418800,
7,1,461800,847999506355900,10,835900,
7,3,382000,847999506563100,5,1316400,
7,1,461800,847999506767000,11,402200,
7,4,288400,847999507032900,11,868800,
7,2,482800,847999507251600,6,1311700,
7,4,288400,847999507458200,12,422800,
7,1,461800,847999507648800,12,879600,
7,1,461800,847999507815000,13,164100,
7,3,382000,847999508012800,6,1447200,
7,3,382000,847999508224300,7,209500,
7,3,382000,847999508410800,8,184700,
7,1,461800,847999508678100,14,860700,
7,4,288400,847999508895200,13,1434500,
7,2,482800,847999509206400,7,1952200,
7,4,288400,847999509437700,14,536600,
7,3,382000,847999509703100,9,1289600,
7,2,482800,847999509908300,8,699600,
7,2,482800,847999510124600,9,214500,
7,2,482800,847999510326900,10,200600,
7,3,382000,847999510534100,10,828900,
7,2,482800,847999510713600,11,378200,
7,2,482800,847999510909300,12,193800,
7,3,382000,847999511120800,11,577700,
7,2,482800,847999511302000,13,367300,
7,2,482800,847999511464300,14,160300,
7,3,382000,847999511668700,12,545500,
7,3,382000,847999511841000,13,170400,
7,3,382000,847999511995500,14,152800,
7,1,461800,,,TOTAL,,30535300
7,2,482800,,,TOTAL,,33259300
7,3,382000,,,TOTAL,,33817400
7,4,288400,,,TOTAL,,31284100
8,3,426200,847999745846100,0,20057300,
8,2,531700,847999746129300,0,20321400,
8,4,309700,847999746434900,0,20679700,
8,1,515000,847999746699900,0,20958500,
8,2,531700,847999746990600,1,470900,
8,3,426200,847999747214600,1,695000,
8,3,426200,847999747527200,2,310600,
8,4,309700,847999747773400,1,1252200,
8,3,426200,847999748072900,3,543000,
8,2,531700,847999748298200,2,1305000,
8,1,515000,847999748502800,1,1794500,
8,2,531700,847999748690300,3,389600,
8,3,426200,847999748890400,4,814900,
8,4,309700,847999749061400,2,1285300,
8,3,426200,847999749282100,5,389800,
8,2,531700,847999749486700,4,794100,
8,1,515000,847999749681900,2,1177000,
8,2,531700,847999749908800,5,419500,
8,3,426200,847999750120500,6,836400,
8,4,309700,847999750326900,3,1263300,
8,3,426200,847999750537400,7,414900,
8,2,531700,847999750752300,6,840900,
8,1,515000,847999750992500,3,1308300,
8,2,531700,847999751202000,7,447100,
8,3,426200,847999751382700,8,843000,
8,4,309700,847999751661400,4,1331800,
8,3,426200,847999751904600,9,519500,
